#,Company,Symbol,Weight,Price,Change
299,Genuine Parts Company,GPC,0.068389,   110.96,0.15 (0.13%)
300,Mylan N.V.,MYL,0.068340,   31.39,0.13 (0.40%)
301,CBRE Group Inc. Class A,CBRE,0.068207,   50.75,-0.12 (-0.24%)
302,Diamondback Energy Inc.,FANG,0.067797,   104.40,0.37 (0.36%)
303,Cadence Design Systems Inc.,CDNS,0.067469,   57.70,1.13 (2.00%)
304,ABIOMED Inc.,ABMD,0.067099,   352.81,0.21 (0.06%)
305,Maxim Integrated Products Inc.,MXIM,0.066804,   56.47,0.57 (1.02%)
306,Total System Services Inc.,TSS,0.066757,   94.04,0.25 (0.27%)
307,MSCI Inc. Class A,MSCI,0.066624,   178.50,1.34 (0.76%)
308,CenterPoint Energy Inc.,CNP,0.065446,   31.08,-0.32 (-1.02%)
309,Hershey Company,HSY,0.065332,   109.71,-0.51 (-0.46%)
310,Keysight Technologies Inc,KEYS,0.065273,   84.50,2.04 (2.47%)
311,CMS Energy Corporation,CMS,0.065099,   53.72,-0.48 (-0.89%)
312,Huntington Bancshares Incorporated,HBAN,0.064948,   14.57,0.24 (1.67%)
313,Laboratory Corporation of America Holdings,LH,0.064223,   148.00,-0.76 (-0.51%)
314,Expedia Group Inc.,EXPE,0.063906,   126.09,-0.89 (-0.70%)
315,Synopsys Inc.,SNPS,0.063891,   103.10,0.80 (0.78%)
316,HCP Inc.,HCP,0.063596,   30.84,-0.41 (-1.31%)
317,Evergy Inc.,EVRG,0.063587,   55.44,-0.06 (-0.10%)
318,Host Hotels & Resorts Inc.,HST,0.062969,   19.93,-0.21 (-1.04%)
319,Incyte Corporation,INCY,0.062952,   87.04,2.19 (2.58%)
320,Vulcan Materials Company,VMC,0.062845,   111.86,-0.82 (-0.73%)
321,Chipotle Mexican Grill Inc.,CMG,0.062675,   597.52,-2.70 (-0.45%)
322,Skyworks Solutions Inc.,SWKS,0.062466,   82.97,0.93 (1.13%)
323,ANSYS Inc.,ANSS,0.062268,   175.47,-0.01 (-0.01%)
324,Lennar Corporation Class A,LEN,0.062197,   50.46,0.21 (0.42%)
325,Arthur J. Gallagher & Co.,AJG,0.061939,   80.91,0.31 (0.38%)
326,Symantec Corporation,SYMC,0.061710,   22.55,-0.12 (-0.53%)
327,American Airlines Group Inc.,AAL,0.061606,   35.99,0.50 (1.41%)
328,Alexandria Real Estate Equities Inc.,ARE,0.061268,   136.20,-0.52 (-0.38%)
329,Hess Corporation,HES,0.061045,   57.57,0.41 (0.72%)
330,Western Digital Corporation,WDC,0.061038,   51.32,1.83 (3.69%)
331,Kellogg Company,K,0.060906,   56.11,-0.63 (-1.10%)
332,Marathon Oil Corporation,MRO,0.060865,   16.78,-0.12 (-0.68%)
333,ResMed Inc.,RMD,0.060791,   101.53,0.29 (0.29%)
334,Comerica Incorporated,CMA,0.060760,   88.08,-0.02 (-0.02%)
335,Cooper Companies Inc.,COO,0.060511,   293.09,0.50 (0.17%)
336,Best Buy Co. Inc.,BBY,0.060419,   61.00,0.56 (0.93%)
337,Arista Networks Inc.,ANET,0.060244,   280.00,5.03 (1.83%)
338,W.W. Grainger Inc.,GWW,0.060181,   312.96,0.59 (0.19%)
